Data,Ano,Mes,Mes_Nome,Ano_Mes,Trimestre,Dia_Semana,Dia_Mes,Semana_Ano
2016-12-02,2016,12,Dezembro,2016-12,4,Sexta-feira,2,48
2016-12-03,2016,12,Dezembro,2016-12,4,Sábado,3,48
2016-12-04,2016,12,Dezembro,2016-12,4,Domingo,4,48
2016-12-05,2016,12,Dezembro,2016-12,4,Segunda-feira,5,49
2016-12-06,2016,12,Dezembro,2016-12,4,Terça-feira,6,49
2016-12-07,2016,12,Dezembro,2016-12,4,Quarta-feira,7,49
2016-12-08,2016,12,Dezembro,2016-12,4,Quinta-feira,8,49
2016-12-09,2016,12,Dezembro,2016-12,4,Sexta-feira,9,49
2016-12-10,2016,12,Dezembro,2016-12,4,Sábado,10,49
2016-12-11,2016,12,Dezembro,2016-12,4,Domingo,11,49
2016-12-12,2016,12,Dezembro,2016-12,4,Segunda-feira,12,50
2016-12-13,2016,12,Dezembro,2016-12,4,Terça-feira,13,50
2016-12-14,2016,12,Dezembro,2016-12,4,Quarta-feira,14,50
2016-12-15,2016,12,Dezembro,2016-12,4,Quinta-feira,15,50
2016-12-16,2016,12,Dezembro,2016-12,4,Sexta-feira,16,50
2016-12-17,2016,12,Dezembro,2016-12,4,Sábado,17,50
2016-12-18,2016,12,Dezembro,2016-12,4,Domingo,18,50
2016-12-19,2016,12,Dezembro,2016-12,4,Segunda-feira,19,51
2016-12-20,2016,12,Dezembro,2016-12,4,Terça-feira,20,51
2016-12-21,2016,12,Dezembro,2016-12,4,Quarta-feira,21,51
2016-12-22,2016,12,Dezembro,2016-12,4,Quinta-feira,22,51
2016-12-23,2016,12,Dezembro,2016-12,4,Sexta-feira,23,51
2016-12-24,2016,12,Dezembro,2016-12,4,Sábado,24,51
2016-12-25,2016,12,Dezembro,2016-12,4,Domingo,25,51
2016-12-26,2016,12,Dezembro,2016-12,4,Segunda-feira,26,52
2016-12-27,2016,12,Dezembro,2016-12,4,Terça-feira,27,52
2016-12-28,2016,12,Dezembro,2016-12,4,Quarta-feira,28,52
2016-12-29,2016,12,Dezembro,2016-12,4,Quinta-feira,29,52
2016-12-30,2016,12,Dezembro,2016-12,4,Sexta-feira,30,52
2016-12-31,2016,12,Dezembro,2016-12,4,Sábado,31,52
2017-01-01,2017,1,Janeiro,2017-01,1,Domingo,1,52
2017-01-02,2017,1,Janeiro,2017-01,1,Segunda-feira,2,1
2017-01-03,2017,1,Janeiro,2017-01,1,Terça-feira,3,1
2017-01-04,2017,1,Janeiro,2017-01,1,Quarta-feira,4,1
2017-01-05,2017,1,Janeiro,2017-01,1,Quinta-feira,5,1
2017-01-06,2017,1,Janeiro,2017-01,1,Sexta-feira,6,1
2017-01-07,2017,1,Janeiro,2017-01,1,Sábado,7,1
2017-01-08,2017,1,Janeiro,2017-01,1,Domingo,8,1
2017-01-09,2017,1,Janeiro,2017-01,1,Segunda-feira,9,2
2017-01-10,2017,1,Janeiro,2017-01,1,Terça-feira,10,2
2017-01-11,2017,1,Janeiro,2017-01,1,Quarta-feira,11,2
2017-01-12,2017,1,Janeiro,2017-01,1,Quinta-feira,12,2
2017-01-13,2017,1,Janeiro,2017-01,1,Sexta-feira,13,2
2017-01-14,2017,1,Janeiro,2017-01,1,Sábado,14,2
2017-01-15,2017,1,Janeiro,2017-01,1,Domingo,15,2
2017-01-16,2017,1,Janeiro,2017-01,1,Segunda-feira,16,3
2017-01-17,2017,1,Janeiro,2017-01,1,Terça-feira,17,3
2017-01-18,2017,1,Janeiro,2017-01,1,Quarta-feira,18,3
2017-01-19,2017,1,Janeiro,2017-01,1,Quinta-feira,19,3
2017-01-20,2017,1,Janeiro,2017-01,1,Sexta-feira,20,3
2017-01-21,2017,1,Janeiro,2017-01,1,Sábado,21,3
2017-01-22,2017,1,Janeiro,2017-01,1,Domingo,22,3
2017-01-23,2017,1,Janeiro,2017-01,1,Segunda-feira,23,4
2017-01-24,2017,1,Janeiro,2017-01,1,Terça-feira,24,4
2017-01-25,2017,1,Janeiro,2017-01,1,Quarta-feira,25,4
2017-01-26,2017,1,Janeiro,2017-01,1,Quinta-feira,26,4
2017-01-27,2017,1,Janeiro,2017-01,1,Sexta-feira,27,4
2017-01-28,2017,1,Janeiro,2017-01,1,Sábado,28,4
2017-01-29,2017,1,Janeiro,2017-01,1,Domingo,29,4
2017-01-30,2017,1,Janeiro,2017-01,1,Segunda-feira,30,5
2017-01-31,2017,1,Janeiro,2017-01,1,Terça-feira,31,5
2017-02-01,2017,2,Fevereiro,2017-02,1,Quarta-feira,1,5
2017-02-02,2017,2,Fevereiro,2017-02,1,Quinta-feira,2,5
2017-02-03,2017,2,Fevereiro,2017-02,1,Sexta-feira,3,5
2017-02-04,2017,2,Fevereiro,2017-02,1,Sábado,4,5
2017-02-05,2017,2,Fevereiro,2017-02,1,Domingo,5,5
2017-02-06,2017,2,Fevereiro,2017-02,1,Segunda-feira,6,6
2017-02-07,2017,2,Fevereiro,2017-02,1,Terça-feira,7,6
2017-02-08,2017,2,Fevereiro,2017-02,1,Quarta-feira,8,6
2017-02-09,2017,2,Fevereiro,2017-02,1,Quinta-feira,9,6
2017-02-10,2017,2,Fevereiro,2017-02,1,Sexta-feira,10,6
2017-02-11,2017,2,Fevereiro,2017-02,1,Sábado,11,6
2017-02-12,2017,2,Fevereiro,2017-02,1,Domingo,12,6
2017-02-13,2017,2,Fevereiro,2017-02,1,Segunda-feira,13,7
2017-02-14,2017,2,Fevereiro,2017-02,1,Terça-feira,14,7
2017-02-15,2017,2,Fevereiro,2017-02,1,Quarta-feira,15,7
2017-02-16,2017,2,Fevereiro,2017-02,1,Quinta-feira,16,7
2017-02-17,2017,2,Fevereiro,2017-02,1,Sexta-feira,17,7
2017-02-18,2017,2,Fevereiro,2017-02,1,Sábado,18,7
2017-02-19,2017,2,Fevereiro,2017-02,1,Domingo,19,7
2017-02-20,2017,2,Fevereiro,2017-02,1,Segunda-feira,20,8
2017-02-21,2017,2,Fevereiro,2017-02,1,Terça-feira,21,8
2017-02-22,2017,2,Fevereiro,2017-02,1,Quarta-feira,22,8
2017-02-23,2017,2,Fevereiro,2017-02,1,Quinta-feira,23,8
2017-02-24,2017,2,Fevereiro,2017-02,1,Sexta-feira,24,8
2017-02-25,2017,2,Fevereiro,2017-02,1,Sábado,25,8
2017-02-26,2017,2,Fevereiro,2017-02,1,Domingo,26,8
2017-02-27,2017,2,Fevereiro,2017-02,1,Segunda-feira,27,9
2017-02-28,2017,2,Fevereiro,2017-02,1,Terça-feira,28,9
2017-03-01,2017,3,Março,2017-03,1,Quarta-feira,1,9
2017-03-02,2017,3,Março,2017-03,1,Quinta-feira,2,9
2017-03-03,2017,3,Março,2017-03,1,Sexta-feira,3,9
2017-03-04,2017,3,Março,2017-03,1,Sábado,4,9
2017-03-05,2017,3,Março,2017-03,1,Domingo,5,9
2017-03-06,2017,3,Março,2017-03,1,Segunda-feira,6,10
2017-03-07,2017,3,Março,2017-03,1,Terça-feira,7,10
2017-03-08,2017,3,Março,2017-03,1,Quarta-feira,8,10
2017-03-09,2017,3,Março,2017-03,1,Quinta-feira,9,10
2017-03-10,2017,3,Março,2017-03,1,Sexta-feira,10,10
2017-03-11,2017,3,Março,2017-03,1,Sábado,11,10
2017-03-12,2017,3,Março,2017-03,1,Domingo,12,10
2017-03-13,2017,3,Março,2017-03,1,Segunda-feira,13,11
2017-03-14,2017,3,Março,2017-03,1,Terça-feira,14,11
2017-03-15,2017,3,Março,2017-03,1,Quarta-feira,15,11
2017-03-16,2017,3,Março,2017-03,1,Quinta-feira,16,11
2017-03-17,2017,3,Março,2017-03,1,Sexta-feira,17,11
2017-03-18,2017,3,Março,2017-03,1,Sábado,18,11
2017-03-19,2017,3,Março,2017-03,1,Domingo,19,11
2017-03-20,2017,3,Março,2017-03,1,Segunda-feira,20,12
2017-03-21,2017,3,Março,2017-03,1,Terça-feira,21,12
2017-03-22,2017,3,Março,2017-03,1,Quarta-feira,22,12
2017-03-23,2017,3,Março,2017-03,1,Quinta-feira,23,12
2017-03-24,2017,3,Março,2017-03,1,Sexta-feira,24,12
2017-03-25,2017,3,Março,2017-03,1,Sábado,25,12
2017-03-26,2017,3,Março,2017-03,1,Domingo,26,12
